pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,8/23/2019,84.1,-3.7638,5.0357,Jose Berrios,605612,621244,field_out,hit_into_play,,,,,13,"Harold Castro grounds out, shortstop Jorge Polanco to first baseman Ehire Adrianza.  ",R,L,R,MIN,DET,X,6,ground_ball,1,0,2019,-1.3491,0.2997,-0.8715,1.7214,null,null,null,1,3,Top,110.69,147.35,,,488771,,190824_005918,9.4234,-122.281,-1.9456,-15.3855,21.7499,-28.9686,3.5,1.73,16,95.2,-6,84.716,1898,6.516,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.9837,0.282,0.269,0,1,0,0,2,21,2,Changeup,2,0,0,2,0,2,0,2,Standard,Standard
CH,8/23/2019,83.9,-3.6693,5.1492,Jose Berrios,605612,621244,null,ball,,,,,11,null,R,L,R,MIN,DET,B,null,null,0,0,2019,-1.1778,0.639,-1.3825,3.103,null,null,null,1,3,Top,null,null,,,488771,,190824_005855,7.6053,-122.0579,0.3328,-13.1582,20.7344,-25.9803,3.44,1.6914,null,null,null,84.352,1887,6.294,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.2059,null,null,null,null,null,null,null,21,1,Changeup,2,0,0,2,0,2,0,2,Standard,Standard
FF,8/23/2019,94.2,-3.4268,5.4937,Jose Berrios,622682,621244,field_out,hit_into_play,,,,,2,Victor Reyes flies out to left fielder Jake Cave.  ,R,L,R,MIN,DET,X,7,fly_ball,1,2,2019,-0.8124,1.1934,0.0928,3.3528,null,null,null,0,3,Top,94.34,91.62,,,488771,,190824_005822,10.929,-136.8849,-2.53,-12.4637,27.4651,-16.776,3.44,1.67,303,89.6,41.9,94.476,2219,6.324,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.1756,0.012,0.013,0,1,0,0,3,20,6,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard
CU,8/23/2019,82.7,-3.6873,5.3354,Jose Berrios,622682,621244,null,foul,,,,,6,null,R,L,R,MIN,DET,S,null,null,1,2,2019,1.7561,-0.1662,0.4972,2.7021,null,null,null,0,3,Top,null,null,,,488771,,190824_005750,6.1251,-120.1931,0.7935,15.5625,22.6573,-34.1429,3.63,1.75,151,58.5,46.3,81.931,2357,5.778,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.7212,null,null,null,null,null,null,null,20,5,Curveball,2,0,0,2,0,2,0,2,Standard,Standard
CU,8/23/2019,82.5,-3.5978,5.227,Jose Berrios,622682,621244,null,ball,,,,,14,null,R,L,R,MIN,DET,B,null,null,0,2,2019,1.4397,-0.7632,1.8654,0.3599,null,null,null,0,3,Top,null,null,,,488771,,190824_005724,9.601,-119.8471,-3.05,11.8949,23.1896,-39.1019,3.7273,1.8229,null,null,null,82.085,2303,6.106,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.393,null,null,null,null,null,null,null,20,4,Curveball,2,0,0,2,0,2,0,2,Standard,Standard
FF,8/23/2019,93.3,-3.5356,5.4656,Jose Berrios,622682,621244,null,foul,,,,,2,null,R,L,R,MIN,DET,S,null,null,0,2,2019,-0.8602,1.0264,-0.1265,3.4587,null,null,null,0,3,Top,null,null,,,488771,,190824_005702,10.6427,-135.6099,-1.6933,-12.7653,26.6414,-19.2993,3.63,1.75,null,null,null,93.606,2184,6.306,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.1935,null,null,null,null,null,null,null,20,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard
FT,8/23/2019,91.7,-3.5025,5.2662,Jose Berrios,622682,621244,null,foul,,,,,7,null,R,L,R,MIN,DET,S,null,null,0,1,2019,-1.4456,0.3965,-0.4761,2.0405,null,null,null,0,3,Top,null,null,,,488771,,190824_005636,10.8796,-133.1697,-3.1702,-19.7217,27.8069,-26.916,3.63,1.75,null,null,null,92.326,2042,6.711,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.788,null,null,null,null,null,null,null,20,2,2-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard
FF,8/23/2019,93.2,-3.6061,5.416,Jose Berrios,622682,621244,null,foul,,,,,8,null,R,L,R,MIN,DET,S,null,null,0,0,2019,-0.8896,1.3041,0.061,2.1656,null,null,null,0,3,Top,null,null,,,488771,,190824_005622,11.3313,-135.1742,-5.3835,-13.358,29.6274,-15.2721,3.63,1.75,162,62.9,49.2,92.868,2220,6.287,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.2126,null,null,null,null,null,null,null,20,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard
CU,8/23/2019,82.2,-3.6538,5.2659,Jose Berrios,668670,621244,strikeout,swinging_strike,,,,,14,"Jake Rogers strikes out swinging, catcher Jason Castro to first baseman Ehire Adrianza.  ",R,R,R,MIN,DET,S,2,null,1,2,2019,1.4129,-0.1499,0.6284,0.1573,641513,null,null,2,2,Top,null,null,,,488771,,190824_004515,6.9741,-119.5359,-4.7471,12.2509,23.2933,-32.901,3.31,1.54,23,52.1,3.9,82.454,2344,6.52,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.9798,null,null,0,1,0,0,null,14,5,Curveball,1,0,0,1,0,1,0,1,Infield shift,Standard
FT,8/23/2019,92.6,-3.5538,5.4457,Jose Berrios,668670,621244,null,foul,,,,,11,null,R,R,R,MIN,DET,S,null,null,1,2,2019,-1.2171,0.7229,-1.0918,2.8858,641513,null,null,2,2,Top,null,null,,,488771,,190824_004436,8.9676,-134.6427,-2.3683,-16.713,26.0958,-23.0071,3.31,1.54,5,69.8,-30.6,93.218,2110,6.458,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.041,null,null,null,null,null,null,null,14,4,2-Seam Fastball,1,0,0,1,0,1,0,1,Infield shift,Standard
CH,8/23/2019,83.3,-3.5381,5.2421,Jose Berrios,668670,621244,null,swinging_strike_blocked,,,,,13,null,R,R,R,MIN,DET,S,null,null,1,1,2019,-1.2208,-0.0213,-0.5233,0.7875,641513,null,null,2,2,Top,null,null,,,488771,,190824_004403,9.3111,-120.9208,-3.6845,-13.8203,24.2179,-31.8646,3.31,1.54,null,null,null,83.123,1660,6.367,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.1327,null,null,null,null,null,null,null,14,3,Changeup,1,0,0,1,0,1,0,1,Infield shift,Standard
FF,8/23/2019,92.7,-3.6528,5.4828,Jose Berrios,668670,621244,null,ball,,,,,11,null,R,R,R,MIN,DET,B,null,null,0,1,2019,-0.8188,1.3018,-0.9692,3.683,641513,null,null,2,2,Top,null,null,,,488771,,190824_004337,8.7387,-134.9027,-1.7093,-11.9926,28.6064,-15.8819,3.31,1.5856,null,null,null,93.513,2177,6.708,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.7913,null,null,null,null,null,null,null,14,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shift,Standard
CU,8/23/2019,82.4,-3.6292,5.2917,Jose Berrios,668670,621244,null,foul,,,,,6,null,R,R,R,MIN,DET,S,null,null,0,0,2019,1.483,-0.0891,0.8217,2.1538,641513,null,null,2,2,Top,null,null,,,488771,,190824_004301,7.2164,-119.744,-0.3916,12.5852,24.1586,-33.1823,3.31,1.54,null,null,null,81.701,2315,5.993,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.5066,null,null,null,null,null,null,null,14,1,Curveball,1,0,0,1,0,1,0,1,Infield shift,Standard
FT,8/23/2019,93.7,-3.596,5.4323,Jose Berrios,474568,621244,strikeout,called_strike,,,,,9,Jordy Mercer called out on strikes.  ,R,R,R,MIN,DET,S,2,null,3,2,2019,-1.5486,0.6807,0.6581,2.0437,641513,null,null,1,2,Top,null,null,,,488771,,190824_004216,14.3611,-135.6489,-4.4823,-22.1741,27.8043,-23.0013,3.34,1.6616,null,null,null,93.63,2160,6.39,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.109,null,null,0,1,0,0,null,13,6,2-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard
FF,8/23/2019,94.2,-3.4927,5.4388,Jose Berrios,474568,621244,null,ball,,,,,14,null,R,R,R,MIN,DET,B,null,null,2,2,2019,-1.0364,1.1775,0.919,2.1544,641513,null,null,1,2,Top,null,null,,,488771,,190824_004147,13.7041,-136.4391,-5.3582,-15.976,30.37,-16.5137,3.3067,1.6133,null,null,null,93.807,2280,6.342,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.1577,null,null,null,null,null,null,null,13,5,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard
CU,8/23/2019,81.7,-3.7138,5.2501,Jose Berrios,474568,621244,null,ball,,,,,14,null,R,R,R,MIN,DET,B,null,null,1,2,2019,1.0549,-0.1524,0.6107,0.9358,641513,null,null,1,2,Top,null,null,,,488771,,190824_004121,7.6867,-118.737,-2.8506,8.5025,21.6324,-33.305,3.2418,1.578,null,null,null,81.382,2301,6.034,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.4655,null,null,null,null,null,null,null,13,4,Curveball,1,0,0,1,0,1,0,1,Strategic,Standard
CU,8/23/2019,81.5,-3.7473,5.1354,Jose Berrios,474568,621244,null,blocked_ball,,,,,14,null,R,R,R,MIN,DET,B,null,null,0,2,2019,1.3831,-0.3257,3.0692,-0.6378,641513,null,500135,0,2,Top,null,null,,,488771,,190824_004040,12.5885,-118.0089,-5.6078,10.2229,24.0957,-34.2786,3.1325,1.5517,null,null,null,80.761,2366,6.225,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.2747,null,null,null,null,null,null,null,13,3,Curveball,1,0,0,1,0,1,0,1,Standard,Standard
FF,8/23/2019,93,-3.5109,5.4445,Jose Berrios,474568,621244,null,called_strike,,,,,6,null,R,R,R,MIN,DET,S,null,null,0,1,2019,-0.8825,1.1423,0.597,2.2006,641513,null,500135,0,2,Top,null,null,,,488771,,190824_004011,12.5066,-134.9462,-5.0664,-13.4772,27.7792,-17.2113,3.34,1.682,null,null,null,93.401,2155,6.561,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.9387,null,null,null,null,null,null,null,13,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard
CU,8/23/2019,81.3,-3.6924,5.3666,Jose Berrios,474568,621244,null,called_strike,,,,,9,null,R,R,R,MIN,DET,S,null,null,0,0,2019,1.3698,-0.1478,0.5867,2.1217,641513,null,500135,0,2,Top,null,null,,,488771,,190824_003948,6.9518,-118.2054,-0.3817,11.314,22.3698,-33.703,3.34,1.6883,null,null,null,80.632,2346,5.862,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.6376,null,null,null,null,null,null,null,13,1,Curveball,1,0,0,1,0,1,0,1,Standard,Standard
FF,8/23/2019,91.7,-3.4815,5.4659,Jose Berrios,500135,621244,single,hit_into_play_no_out,,,,,8,Ronny Rodriguez singles on a sharp line drive to center fielder Max Kepler.   Travis Demeritte to 3rd.  ,R,R,R,MIN,DET,X,8,line_drive,1,0,2019,-0.9476,0.8982,0.1228,2.0802,null,null,641513,0,2,Top,120.38,86.17,,,488771,,190824_003902,11.2292,-133.0807,-4.6692,-13.7281,27.4402,-20.5843,3.29,1.56,261,102.7,11.9,92.222,2110,6.661,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.8388,0.892,0.877,0.9,1,1,0,4,12,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard
FF,8/23/2019,92,-3.5936,5.4949,Jose Berrios,500135,621244,null,ball,,,,,11,null,R,R,R,MIN,DET,B,null,null,0,0,2019,-1.0743,0.9372,-1.2393,2.5703,null,null,641513,0,2,Top,null,null,,,488771,,190824_003829,8.3614,-133.7977,-3.6791,-14.7493,26.5894,-20.211,2.9292,1.4199,null,null,null,92.76,2080,6.596,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.9033,null,null,null,null,null,null,null,12,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard
CU,8/23/2019,81.5,-3.7813,5.2923,Jose Berrios,641513,621244,single,hit_into_play_no_out,,,,,8,Travis Demeritte singles on a line drive to center fielder Max Kepler.  ,R,R,R,MIN,DET,X,8,line_drive,1,1,2019,1.6097,-0.3467,0.1969,2.0971,null,null,null,0,2,Top,101.89,64.07,,,488771,,190824_003624,5.8535,-118.4956,0.0302,13.8757,21.2851,-35.6246,3.53,1.64,262,95.3,12.9,80.873,2413,5.774,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.7257,0.932,0.872,0.9,1,1,0,4,11,3,Curveball,1,0,0,1,0,1,0,1,Infield shift,Standard
CU,8/23/2019,81.8,-3.7146,5.227,Jose Berrios,641513,621244,null,ball,,,,,14,null,R,R,R,MIN,DET,B,null,null,0,1,2019,1.3747,-0.1833,1.7471,1.3449,null,null,null,0,2,Top,null,null,,,488771,,190824_003603,9.6286,-118.7861,-1.8364,11.1653,21.4371,-33.7832,3.53,1.7299,null,null,null,81.375,2292,5.986,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.514,null,null,null,null,null,null,null,11,2,Curveball,1,0,0,1,0,1,0,1,Infield shift,Standard
FF,8/23/2019,92.6,-3.6331,5.4162,Jose Berrios,641513,621244,null,foul,,,,,6,null,R,R,R,MIN,DET,S,null,null,0,0,2019,-0.9078,1.014,0.2977,2.266,null,null,null,0,2,Top,null,null,,,488771,,190824_003544,11.9129,-134.2912,-4.4034,-13.3392,26.9134,-19.2696,3.53,1.64,null,null,null,92.27,2127,6.113,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.3868,null,null,null,null,null,null,null,11,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shift,Standard
FT,8/23/2019,93,-3.5929,5.3576,Jose Berrios,641525,621244,field_out,hit_into_play,,,,,7,Brandon Dixon flies out sharply to center fielder Max Kepler.  ,R,R,R,MIN,DET,X,8,fly_ball,1,0,2019,-1.3318,0.903,-0.6204,1.9382,null,605612,592348,2,1,Top,164.96,40.46,,,488771,,190824_002107,10.5664,-135.0717,-4.9732,-18.6427,28.723,-20.2024,3.38,1.63,384,103.9,34.9,93.221,2154,6.472,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.0275,0.66,1.175,0,1,0,0,6,5,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard
CU,8/23/2019,82.5,-3.7634,5.2493,Jose Berrios,641525,621244,null,ball,,,,,14,null,R,R,R,MIN,DET,B,null,null,0,0,2019,1.5999,-0.3024,1.7431,1.0813,null,605612,592348,2,1,Top,null,null,,,488771,,190824_002025,9.3668,-119.6579,-2.2574,13.0648,25.5774,-34.7964,3.4,1.6319,null,null,null,81.467,2352,6.017,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.4827,null,null,null,null,null,null,null,5,1,Curveball,0,0,0,0,0,0,0,0,Infield shift,Standard
FF,8/23/2019,95,-3.5825,5.4837,Jose Berrios,592348,621244,walk,ball,,,,,13,Niko Goodrum walks.  ,R,L,R,MIN,DET,B,null,null,3,2,2019,-1.0451,1.1915,-1.9844,2.1949,null,605612,null,2,1,Top,null,null,,,488771,,190824_001942,6.4745,-138.1265,-5.5531,-14.7148,31.6261,-16.0499,3.7392,1.8008,null,null,null,94.494,2240,6.102,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.3974,null,null,0.7,1,0,0,null,4,11,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
FF,8/23/2019,94.9,-3.4251,5.5983,Jose Berrios,592348,621244,null,foul,,,,,2,null,R,L,R,MIN,DET,S,null,null,3,2,2019,-0.659,1.2306,0.2434,3.6245,null,605612,null,2,1,Top,null,null,,,488771,,190824_001904,11.1337,-137.9227,-2.3322,-10.7474,27.1278,-15.9139,3.59,1.71,209,73.2,30.5,95.775,2243,6.604,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.8958,null,null,null,null,null,null,null,4,10,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
CH,8/23/2019,79.1,-3.771,5.1219,Jose Berrios,592348,621244,null,foul,,,,,5,null,R,L,R,MIN,DET,S,null,null,3,2,2019,-1.2487,0.4306,-0.1829,2.7566,null,605612,null,2,1,Top,null,null,,,488771,,190824_001825,10.116,-114.7183,0.8431,-12.826,20.1251,-28.7161,3.59,1.71,45,58.7,2.5,79.039,1670,6.315,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.1842,null,null,null,null,null,null,null,4,9,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
CH,8/23/2019,83,-3.65,5.2249,Jose Berrios,592348,621244,null,ball,,,,,14,null,R,L,R,MIN,DET,B,null,null,2,2,2019,-1.0978,0.7462,0.4113,0.9375,null,605612,null,2,1,Top,null,null,,,488771,,190824_001750,11.3904,-120.3078,-4.7225,-12.8504,23.3924,-24.2443,3.6899,1.7523,null,null,null,82.679,1685,6.296,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.2038,null,null,null,null,null,null,null,4,8,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
FF,8/23/2019,95.2,-3.4714,5.5454,Jose Berrios,592348,621244,null,foul,,,,,11,null,R,L,R,MIN,DET,S,null,null,2,2,2019,-0.8947,1.1642,-0.8316,2.8225,null,605612,null,2,1,Top,null,null,,,488771,,190824_001714,8.9261,-138.3709,-4.0906,-13.4773,31.1004,-16.5456,3.59,1.71,null,null,null,95.112,2231,6.319,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.1808,null,null,null,null,null,null,null,4,7,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
FF,8/23/2019,95.4,-3.4987,5.5267,Jose Berrios,592348,621244,null,foul,,,,,11,null,R,L,R,MIN,DET,S,null,null,2,2,2019,-0.9804,1.2623,-1.3169,2.778,null,605612,null,2,1,Top,null,null,,,488771,,190824_001645,7.9403,-138.6465,-4.4175,-14.4204,31.1021,-15.1247,3.59,1.71,213,75,42.9,95.377,2211,6.353,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.146,null,null,null,null,null,null,null,4,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
CH,8/23/2019,83.4,-3.6014,5.1396,Jose Berrios,592348,621244,null,foul,,,,,13,null,R,L,R,MIN,DET,S,null,null,2,2,2019,-1.1595,0.4109,-1.2072,1.4299,null,605612,null,2,1,Top,null,null,,,488771,,190824_001603,8.0575,-121.4101,-2.9691,-13.5107,24.6054,-27.5277,3.59,1.71,null,null,null,85.086,1699,7.44,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.0599,null,null,null,null,null,null,null,4,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
FT,8/23/2019,94.5,-3.5832,5.3629,Jose Berrios,592348,621244,null,called_strike,,,,,13,null,R,L,R,MIN,DET,S,null,null,2,1,2019,-1.2089,0.7779,-0.7789,1.5117,null,605612,null,2,1,Top,null,null,,,488771,,190824_001531,10.2522,-137.3361,-6.2598,-17.9544,27.9678,-20.8448,3.59,1.7411,null,null,null,96.325,2327,7.224,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.2758,null,null,null,null,null,null,null,4,4,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
CH,8/23/2019,84.4,-3.5856,5.1375,Jose Berrios,592348,621244,null,swinging_strike,,,,,13,null,R,L,R,MIN,DET,S,null,null,2,0,2019,-1.3188,0.4744,-1.2004,1.5486,null,605612,null,2,1,Top,null,null,,,488771,,190824_001503,8.363,-122.7712,-3.0174,-15.2978,23.0201,-26.8373,3.59,1.71,null,null,null,85.771,1746,7.072,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.4275,null,null,null,null,null,null,null,4,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
CH,8/23/2019,84.6,-3.6112,5.1629,Jose Berrios,592348,621244,null,ball,,,,,13,null,R,L,R,MIN,DET,B,null,null,1,0,2019,-1.17,0.1399,-1.5648,1.6714,null,605612,null,2,1,Top,null,null,,,488771,,190824_001436,7.2858,-123.0994,-2.1007,-13.6625,24.5728,-30.4708,3.59,1.7162,null,null,null,85.86,1744,7.115,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,53.3847,null,null,null,null,null,null,null,4,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
FF,8/23/2019,95.1,-3.6579,5.4007,Jose Berrios,592348,621244,null,ball,,,,,13,null,R,L,R,MIN,DET,B,null,null,0,0,2019,-0.9729,0.9989,-1.4102,1.5984,null,605612,null,2,1,Top,null,null,,,488771,,190824_001412,7.9805,-138.1695,-6.5201,-13.9848,27.3725,-18.3535,3.6781,1.7287,null,null,null,94.862,2148,5.99,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.5094,null,null,null,null,null,null,null,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
CU,8/23/2019,82.6,-3.6903,5.2443,Jose Berrios,408234,621244,strikeout,swinging_strike_blocked,,,,,14,Miguel Cabrera strikes out swinging.  ,R,R,R,MIN,DET,S,2,null,0,2,2019,1.244,-0.2926,0.4231,0.721,null,605612,null,1,1,Top,null,null,,,488771,,190824_001326,6.9465,-120.1889,-3.2553,10.7488,22.0938,-34.6161,3.5,1.73,null,null,null,82.594,2359,6.173,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.3269,null,null,0,1,0,0,null,3,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard
CU,8/23/2019,82.3,-3.7457,5.3062,Jose Berrios,408234,621244,null,foul,,,,,13,null,R,R,R,MIN,DET,S,null,null,0,1,2019,1.4148,-0.239,-0.2261,1.4358,null,605612,null,1,1,Top,null,null,,,488771,,190824_001250,5.2514,-119.7787,-1.8093,12.335,22.4351,-34.3284,3.5,1.73,1,60.6,-50.2,81.468,2321,5.648,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.8514,null,null,null,null,null,null,null,3,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard
FF,8/23/2019,93.5,-3.5602,5.4493,Jose Berrios,408234,621244,null,called_strike,,,,,9,null,R,R,R,MIN,DET,S,null,null,0,0,2019,-0.7141,0.8863,0.5428,1.9208,null,605612,null,1,1,Top,null,null,,,488771,,190824_001224,12.1611,-135.8103,-5.3808,-11.1752,24.5391,-20.232,3.5,1.8208,null,null,null,94.251,2117,6.44,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.0593,null,null,null,null,null,null,null,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
FF,8/23/2019,93.7,-3.7012,5.4545,Jose Berrios,605612,621244,double,hit_into_play_no_out,,,,,13,Harold Castro doubles (7) on a line drive to left fielder Jake Cave.  ,R,L,R,MIN,DET,X,7,line_drive,0,0,2019,-1.072,0.8535,-0.9421,2.4831,null,null,null,1,1,Top,30.46,86.15,,,488771,,190824_001129,9.4769,-136.1914,-3.8576,-15.2895,26.9329,-20.9247,3.44,1.67,346,98.7,23.7,94.001,2165,6.307,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.1926,0.6,0.847,1.25,1,1,1,5,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
CU,8/23/2019,81.3,-3.6564,5.3343,Jose Berrios,622682,621244,field_out,hit_into_play,,,,,8,Victor Reyes lines out to center fielder Max Kepler.  ,R,L,R,MIN,DET,X,8,line_drive,1,1,2019,1.1519,-0.6797,0.1578,1.7379,null,null,null,0,1,Top,126.9,43.85,,,488771,,190824_001100,6.314,-118.1284,-0.1332,9.2534,23.6054,-38.6106,3.44,1.67,365,91,27.3,80.205,2222,5.729,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.7706,0.12,0.141,0,1,0,0,3,1,3,Curveball,0,0,0,0,0,0,0,0,Standard,Standard
FF,8/23/2019,94,-3.6634,5.4092,Jose Berrios,622682,621244,null,ball,,,,,13,null,R,L,R,MIN,DET,B,null,null,0,1,2019,-1.0559,0.982,-1.4523,2.659,null,null,null,0,1,Top,null,null,,,488771,,190824_001036,8.0415,-136.7177,-3.5753,-14.9364,29.4834,-19.341,3.63,1.8361,null,null,null,93.926,2173,6.224,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.2759,null,null,null,null,null,null,null,1,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
FF,8/23/2019,92.9,-3.6049,5.4323,Jose Berrios,622682,621244,null,called_strike,,,,,5,null,R,L,R,MIN,DET,S,null,null,0,0,2019,-0.9007,1.2058,-0.2042,2.5311,null,null,null,0,1,Top,null,null,,,488771,,190824_001026,10.6726,-134.947,-4.2919,-13.2424,27.7201,-16.7024,3.6493,1.7061,null,null,null,93.06,2169,6.355,567027,621244,488771,501303,650333,593934,593871,595909,596146,503556,54.1441,null,null,null,null,null,null,null,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
FF,8/17/2019,95,-3.5017,5.4673,Jose Berrios,596059,621244,walk,ball,,,,,14,Rougned Odor walks.   Elvis Andrus scores.    Nomar Mazara to 3rd.    Hunter Pence to 2nd.  ,R,L,R,TEX,MIN,B,null,null,3,2,2019,-0.9158,1.1531,0.6575,1.2304,462101,608577,452254,1,5,Bot,null,null,,,641598,,190818_024803,12.9812,-137.6417,-8.0269,-14.5448,29.3576,-15.828,3.1335,1.4323,null,null,null,95.287,2291,6.606,566828,621244,641598,543068,650333,593934,593871,592696,595909,503556,53.8934,null,null,0.7,1,0,0,null,54,6,4-Seam Fastball,6,9,6,9,9,6,6,9,Standard,Standard
FF,8/17/2019,93.5,-3.5511,5.4132,Jose Berrios,596059,621244,null,swinging_strike,,,,,2,null,R,L,R,TEX,MIN,S,null,null,3,1,2019,-0.7198,0.998,0.0785,3.0869,462101,608577,452254,1,5,Bot,null,null,,,641598,,190818_024711,10.9623,-135.7185,-2.3896,-11.4702,32.0699,-19.5216,3.0561,1.2683,null,null,null,93.288,2221,6.483,566828,621244,641598,543068,650333,593934,593871,592696,595909,503556,54.0168,null,null,null,null,null,null,null,54,5,4-Seam Fastball,6,9,6,9,9,6,6,9,Infield shift,Standard
FT,8/17/2019,93.2,-3.5863,5.4622,Jose Berrios,596059,621244,null,ball,,,,,11,null,R,L,R,TEX,MIN,B,null,null,2,1,2019,-1.1562,0.6345,-1.7827,2.7853,462101,608577,452254,1,5,Bot,null,null,,,641598,,190818_024639,7.2083,-135.6738,-2.5399,-15.8937,28.8046,-23.9554,3.0953,1.3088,null,null,null,93.644,2119,6.463,566828,621244,641598,543068,650333,593934,593871,592696,595909,503556,54.0367,null,null,null,null,null,null,null,54,4,2-Seam Fastball,6,9,6,9,9,6,6,9,Infield shift,Standard
