"round","seed.1","name.1","link.1","games.1","win_pct.1","srs.1","sos.1","win_pct_home.1","win_pct_away.1","win_pct_conf.1","pts_pg.1","opp_pts_pg.1","mp.1","fg_pg.1","fg_pct.1","fg3_pg.1","fg3_pct.1","ft_pg.1","ft_pct.1","orb_pg.1","trb_pg.1","ast_pg.1","stl_pg.1","blk_pg.1","tov_pg.1","pf_pg.1","seed.2","name.2","link.2","games.2","win_pct.2","srs.2","sos.2","win_pct_home.2","win_pct_away.2","win_pct_conf.2","pts_pg.2","opp_pts_pg.2","mp.2","fg_pg.2","fg_pct.2","fg3_pg.2","fg3_pct.2","ft_pg.2","ft_pct.2","orb_pg.2","trb_pg.2","ast_pg.2","stl_pg.2","blk_pg.2","tov_pg.2","pf_pg.2"
1,1,"Gonzaga","/cbb/schools/gonzaga/2022.html",29,0.897,26.77,4.29,1,0.833333333333333,0.928571428571429,87.8275862068966,65.3448275862069,1160,32.9310344827586,0.527,8.37931034482759,0.379,13.5862068965517,0.73,9.37931034482759,41.5172413793103,18.2068965517241,6.6551724137931,5.86206896551724,11.7586206896552,15.4137931034483,16,"Georgia State","/cbb/schools/georgia-state/2022.html",28,0.643,-1.12,-2.2,0.666666666666667,0.545454545454545,0.642857142857143,70.6071428571429,64.75,1135,24.9642857142857,0.403,7.67857142857143,0.329,13,0.717,13.2857142857143,37.25,13.5357142857143,8.92857142857143,4.46428571428571,11.8571428571429,15.75
1,8,"Boise State","/cbb/schools/boise-state/2022.html",34,0.794,12.7,5.46,0.8125,0.75,0.833333333333333,68.7058823529412,60.7647058823529,1375,24.4705882352941,0.448,7.38235294117647,0.348,12.3823529411765,0.649,10.1764705882353,34.9705882352941,11.5294117647059,5.91176470588235,3.5,12.1176470588235,15.0588235294118,9,"Memphis","/cbb/schools/memphis/2022.html",31,0.677,14.39,7.36,0.866666666666667,0.454545454545455,0.722222222222222,75.4193548387097,68.3870967741936,1240,26.9354838709677,0.471,6.32258064516129,0.359,15.2258064516129,0.692,12.4838709677419,38.741935483871,16.0645161290323,8.70967741935484,5.67741935483871,16.3548387096774,18.7096774193548
1,5,"UConn","/cbb/schools/connecticut/2022.html",32,0.719,17.27,7.24,0.875,0.5,0.684210526315789,75.1875,65.15625,1305,26.8125,0.436,7.4375,0.353,14.125,0.75,13.96875,40.875,14,5.96875,6.5,11.875,16.78125,12,"New Mexico State","/cbb/schools/new-mexico-state/2022.html",32,0.813,6.79,0.58,0.866666666666667,0.75,0.764705882352941,73.3125,65.03125,1285,25.875,0.457,7.84375,0.326,13.71875,0.698,11.125,38.46875,13.90625,5.0625,4.15625,14,15.875
1,4,"Arkansas","/cbb/schools/arkansas/2022.html",33,0.758,16.52,8.12,0.944444444444444,0.555555555555556,0.722222222222222,76.9393939393939,68.5454545454545,1330,26.6363636363636,0.44,6.36363636363636,0.307,17.3030303030303,0.753,11.2121212121212,38.1515151515151,14.0909090909091,7.72727272727273,4.18181818181818,12.6060606060606,16.8484848484848,13,"Vermont","/cbb/schools/vermont/2022.html",33,0.848,7.79,-6.27,1,0.714285714285714,0.944444444444444,74.9393939393939,60.3030303030303,1325,27.5757575757576,0.493,8.75757575757576,0.364,11.030303030303,0.747,7.33333333333333,35.1212121212121,15.2121212121212,5.21212121212121,2.51515151515152,9.6969696969697,13.7575757575758
1,6,"Alabama","/cbb/schools/alabama/2022.html",32,0.594,15.51,11.95,0.8125,0.3,0.5,79.96875,76.40625,1285,27.65625,0.441,9.28125,0.308,15.375,0.73,13.53125,39.9375,14.625,7,4.71875,14.5625,18.59375,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,"Texas Tech","/cbb/schools/texas-tech/2022.html",34,0.735,19.93,8.55,1,0.3,0.666666666666667,71.7058823529412,60.3235294117647,1375,25.9117647058824,0.47,5.97058823529412,0.314,13.9117647058824,0.699,10.5882352941176,36.4705882352941,13.5588235294118,8.17647058823529,3.47058823529412,13.8529411764706,16.1764705882353,14,"Montana State","/cbb/schools/montana-state/2022.html",34,0.794,0.53,-6,0.928571428571429,0.6,0.8,76.9705882352941,68.4705882352941,1375,26.5294117647059,0.475,7.64705882352941,0.369,16.2647058823529,0.753,8.67647058823529,35.4705882352941,13.1764705882353,5.23529411764706,3.73529411764706,12.7647058823529,18.1470588235294
1,7,"Michigan State","/cbb/schools/michigan-state/2022.html",34,0.647,13.76,10.12,0.8,0.454545454545455,0.55,72.0882352941177,68.4411764705882,1360,26,0.457,7.17647058823529,0.378,12.9117647058824,0.747,10.0294117647059,37.1470588235294,15.7941176470588,5.82352941176471,5.05882352941176,13.0882352941176,16.9411764705882,10,"Davidson","/cbb/schools/davidson/2022.html",33,0.818,10.49,1.68,0.928571428571429,0.75,0.833333333333333,75.5757575757576,65.7575757575758,1325,26.6666666666667,0.481,8.81818181818182,0.386,13.4242424242424,0.757,7.36363636363636,34.2424242424242,14.6666666666667,4.66666666666667,2.57575757575758,9.84848484848485,14.7272727272727
1,2,"Duke","/cbb/schools/duke/2022.html",34,0.824,19.16,6.13,0.833333333333333,0.818181818181818,0.8,80.1764705882353,67.1470588235294,1365,29.6764705882353,0.489,8.17647058823529,0.368,12.6470588235294,0.729,10.6764705882353,38.3235294117647,16.9117647058824,6.47058823529412,5.52941176470588,10.2352941176471,13.6470588235294,15,"Cal State Fullerton","/cbb/schools/cal-state-fullerton/2022.html",31,0.677,0.38,-2.52,0.846153846153846,0.5,0.705882352941177,70.258064516129,66.1612903225806,1240,24.7741935483871,0.447,5.51612903225806,0.33,15.1935483870968,0.763,9.67741935483871,33.5483870967742,11.2903225806452,7.25806451612903,2,12.258064516129,16
1,1,"Baylor","/cbb/schools/baylor/2022.html",32,0.813,21.89,9.01,0.882352941176471,0.727272727272727,0.777777777777778,76.5,63.625,1285,28.21875,0.464,7.9375,0.346,12.125,0.698,12.75,37.125,15.84375,8.8125,3.40625,12.5,15.84375,16,"Norfolk State","/cbb/schools/norfolk-state/2022.html",30,0.8,-3.37,-10.3,1,0.538461538461538,0.857142857142857,75.1,63.7333333333333,1200,26.5333333333333,0.466,7.03333333333333,0.348,15,0.698,10.1333333333333,38.7666666666667,12.6333333333333,6.7,3.66666666666667,14,17.6666666666667
1,8,"UNC","/cbb/schools/north-carolina/2022.html",33,0.727,13.12,7.33,0.882352941176471,0.727272727272727,0.75,77.5151515151515,71.7272727272727,1330,27.6363636363636,0.453,8.27272727272727,0.362,13.969696969697,0.772,10.6666666666667,39.7878787878788,14.8181818181818,5.42424242424242,3.84848484848485,11.6666666666667,14.3636363636364,9,"Marquette","/cbb/schools/marquette/2022.html",31,0.613,12.58,9.07,0.8125,0.363636363636364,0.578947368421053,74.3870967741936,70.8709677419355,1250,26.9354838709677,0.453,8.61290322580645,0.347,11.9032258064516,0.747,7.67741935483871,34.7096774193548,16,7.87096774193548,5.09677419354839,12.4516129032258,17.4516129032258
