"round","seed.1","name.1","link.1","score.1","games.1","win_pct.1","srs.1","sos.1","win_pct_home.1","win_pct_away.1","win_pct_conf.1","pts_pg.1","opp_pts_pg.1","fg_pg.1","fg_pct.1","fg3_pg.1","fg3_pct.1","ft_pg.1","ft_pct.1","orb_pg.1","trb_pg.1","ast_pg.1","stl_pg.1","blk_pg.1","tov_pg.1","pf_pg.1","seed.2","name.2","link.2","score.2","games.2","win_pct.2","srs.2","sos.2","win_pct_home.2","win_pct_away.2","win_pct_conf.2","pts_pg.2","opp_pts_pg.2","fg_pg.2","fg_pct.2","fg3_pg.2","fg3_pct.2","ft_pg.2","ft_pct.2","orb_pg.2","trb_pg.2","ast_pg.2","stl_pg.2","blk_pg.2","tov_pg.2","pf_pg.2","year","winner","point_diff"
2,14,"Mercer","/cbb/schools/mercer/men/2014.html",63,36,0.75,5.33,-3.42,0.9444444,0.5625,0.7777778,78.77778,66.94444,27.27778,0.476,8.055556,0.384,16.16667,0.736,11.30556,37.16667,16.27778,5.861111,4.083333,11.66667,18.47222,11,"Tennessee","/cbb/schools/tennessee/men/2014.html",83,37,0.649,17.34,7.84,0.8235294,0.3636364,0.6111111,72.21622,61.7027,25.05405,0.453,5.540541,0.325,16.56757,0.719,13.54054,38.48649,12.75676,5.189189,4.648649,10.48649,16.67568,2014,"team2",-20
2,2,"Michigan","/cbb/schools/michigan/men/2014.html",79,37,0.757,18.52,9.65,0.8666667,0.6363636,0.8333333,73.94595,65.08108,25.54054,0.477,8.621622,0.402,14.24324,0.763,8.540541,31.35135,14.18919,5.162162,2.378378,9.081081,14.24324,7,"Texas","/cbb/schools/texas/men/2014.html",65,35,0.686,12.67,9.15,0.8888889,0.4,0.6111111,74.22857,70.71429,25.85714,0.432,5.085714,0.327,17.42857,0.671,15.08571,41.4,12.91429,5.685714,5.885714,12.17143,19.11429,2014,"team1",14
3,4,"Louisville","/cbb/schools/louisville/men/2014.html",69,37,0.838,24.69,4.8,0.8888889,0.8181818,0.8333333,81.02703,61.13514,28.40541,0.471,7.783784,0.368,16.43243,0.661,13.59459,37.72973,15.35135,10,4.675676,10.56757,19.54054,8,"Kentucky","/cbb/schools/kentucky/men/2014.html",74,40,0.725,18.07,9.9,0.8888889,0.5,0.6666667,74.8,66.625,25.1,0.454,5.075,0.332,19.525,0.682,14.05,40.175,11.15,4.725,5.9,11.725,18.3,2014,"team2",-5
3,2,"Michigan","/cbb/schools/michigan/men/2014.html",73,37,0.757,18.52,9.65,0.8666667,0.6363636,0.8333333,73.94595,65.08108,25.54054,0.477,8.621622,0.402,14.24324,0.763,8.540541,31.35135,14.18919,5.162162,2.378378,9.081081,14.24324,11,"Tennessee","/cbb/schools/tennessee/men/2014.html",71,37,0.649,17.34,7.84,0.8235294,0.3636364,0.6111111,72.21622,61.7027,25.05405,0.453,5.540541,0.325,16.56757,0.719,13.54054,38.48649,12.75676,5.189189,4.648649,10.48649,16.67568,2014,"team1",2
4,2,"Michigan","/cbb/schools/michigan/men/2014.html",72,37,0.757,18.52,9.65,0.8666667,0.6363636,0.8333333,73.94595,65.08108,25.54054,0.477,8.621622,0.402,14.24324,0.763,8.540541,31.35135,14.18919,5.162162,2.378378,9.081081,14.24324,8,"Kentucky","/cbb/schools/kentucky/men/2014.html",75,40,0.725,18.07,9.9,0.8888889,0.5,0.6666667,74.8,66.625,25.1,0.454,5.075,0.332,19.525,0.682,14.05,40.175,11.15,4.725,5.9,11.725,18.3,2014,"team2",-3
1,16,"Albany (NY)","/cbb/schools/albany-ny/men/2014.html",55,34,0.559,-3.31,-5.22,0.7692308,0.3888889,0.5625,65.85294,63.94118,22.5,0.441,4.794118,0.36,16.05882,0.75,10.08824,34.55882,11.05882,5.411765,2.970588,12.58824,17.05882,1,"Florida","/cbb/schools/florida/men/2014.html",67,39,0.923,20.69,8.54,1,0.8333333,1,69.92308,57.76923,24.23077,0.46,6.538462,0.359,14.92308,0.668,11.20513,35.51282,13.05128,7.025641,3.025641,10.71795,15.66667,2014,"team2",-12
1,9,"Pitt","/cbb/schools/pittsburgh/men/2014.html",77,36,0.722,17.46,7.54,0.7222222,0.7777778,0.6111111,71.83333,61.91667,24.86111,0.46,5.083333,0.351,17.02778,0.712,12,35.86111,15.63889,7.055556,2.972222,10.36111,17.22222,8,"Colorado","/cbb/schools/colorado/men/2014.html",48,35,0.657,10.8,8.8,0.8888889,0.4545455,0.5555556,70.2,68.2,23.25714,0.435,5.171429,0.318,18.51429,0.718,11.45714,37.28571,11.34286,5.914286,3.285714,13.31429,16.45714,2014,"team1",29
1,12,"Stephen F. Austin","/cbb/schools/stephen-f-austin/men/2014.html",77,35,0.914,4.82,-6.76,1,0.875,1,76.02857,63.4,26.34286,0.463,7.085714,0.345,16.25714,0.711,12.88571,33.88571,16.4,7.342857,2.971429,11.22857,20.85714,5,"VCU","/cbb/schools/virginia-commonwealth/men/2014.html",75,35,0.743,14.55,4.78,1,0.5454545,0.75,74.97143,65.2,26.34286,0.42,7.428571,0.349,14.85714,0.674,13.68571,37.62857,13.11429,11.17143,4.285714,12.08571,19.6,2014,"team1",2
1,13,"Tulsa","/cbb/schools/tulsa/men/2014.html",59,34,0.618,6.23,1.17,0.7857143,0.4615385,0.8125,72.67647,67.61765,24.55882,0.44,5.794118,0.327,17.76471,0.676,10.82353,36.20588,12.55882,6.823529,3.735294,11.58824,21.32353,4,"UCLA","/cbb/schools/ucla/men/2014.html",76,37,0.757,18.4,7.62,0.8888889,0.5,0.6666667,81.16216,70.37838,29,0.489,6.189189,0.38,16.97297,0.749,9.945946,35.35135,17.18919,9.216216,3,10.24324,17.62162,2014,"team2",-17
1,11,"Dayton","/cbb/schools/dayton/men/2014.html",60,37,0.703,10.55,5.34,0.7647059,0.6363636,0.625,72.18919,66.97297,25.27027,0.463,6.567568,0.377,15.08108,0.681,11.18919,34.83784,13.10811,6,2.594595,11.94595,19.89189,6,"Ohio State","/cbb/schools/ohio-state/men/2014.html",59,35,0.714,17.84,8.12,0.85,0.5,0.5555556,69.48571,59.77143,24.08571,0.45,5.714286,0.324,15.6,0.689,9.885714,33.91429,12.02857,7.714286,4.485714,11.25714,16.48571,2014,"team1",1
