round,seed.1,name.1,link.1,seed.2,name.2,link.2,region,win_pct.1,srs.1,sos.1,win_pct_home.1,win_pct_away.1,win_pct_conf.1,pace.1,off_rtg.1,fta_per_fga_pct.1,fg3a_per_fga_pct.1,ts_pct.1,trb_pct.1,ast_pct.1,stl_pct.1,blk_pct.1,efg_pct.1,tov_pct.1,orb_pct.1,ft_rate.1,conf.1,fg_pg.1,fg_pct.1,fg2_pg.1,fg2_pct.1,fg3_pg.1,fg3_pct.1,ft_pg.1,ft_pct.1,orb_pg.1,drb_pg.1,trb_pg.1,ast_pg.1,stl_pg.1,blk_pg.1,tov_pg.1,pf_pg.1,pts_pg.1,fg_pg_opp.1,fg_pct_opp.1,fg2_pg_opp.1,fg2_pct_opp.1,fg3_pg_opp.1,fg3_pct_opp.1,ft_pg_opp.1,ft_pct_opp.1,orb_pg_opp.1,drb_pg_opp.1,trb_pg_opp.1,ast_pg_opp.1,stl_pg_opp.1,blk_pg_opp.1,tov_pg_opp.1,pf_pg_opp.1,pts_pg_opp.1,mp_bench_pct.1,pts_bench_pct.1,height_avg.1,height_max.1,exp_avg.1,rsci_pct.1,min_return.1,pts_return.1,win_pct.2,srs.2,sos.2,win_pct_home.2,win_pct_away.2,win_pct_conf.2,pace.2,off_rtg.2,fta_per_fga_pct.2,fg3a_per_fga_pct.2,ts_pct.2,trb_pct.2,ast_pct.2,stl_pct.2,blk_pct.2,efg_pct.2,tov_pct.2,orb_pct.2,ft_rate.2,conf.2,fg_pg.2,fg_pct.2,fg2_pg.2,fg2_pct.2,fg3_pg.2,fg3_pct.2,ft_pg.2,ft_pct.2,orb_pg.2,drb_pg.2,trb_pg.2,ast_pg.2,stl_pg.2,blk_pg.2,tov_pg.2,pf_pg.2,pts_pg.2,fg_pg_opp.2,fg_pct_opp.2,fg2_pg_opp.2,fg2_pct_opp.2,fg3_pg_opp.2,fg3_pct_opp.2,ft_pg_opp.2,ft_pct_opp.2,orb_pg_opp.2,drb_pg_opp.2,trb_pg_opp.2,ast_pg_opp.2,stl_pg_opp.2,blk_pg_opp.2,tov_pg_opp.2,pf_pg_opp.2,pts_pg_opp.2,mp_bench_pct.2,pts_bench_pct.2,height_avg.2,height_max.2,exp_avg.2,rsci_pct.2,min_return.2,pts_return.2
1,7,Washington St.,/cbb/schools/washington-state/men/2024.html,10,Drake,/cbb/schools/drake/men/2024.html,1,0.727,14.28,6.86,0.8823529411764706,0.6,0.7,66.7,110.6,0.317,0.32,0.549,54.4,45.7,7.8,12.5,0.521,13.8,32.9,0.222,pac-12,27.4,.466,21.0,.526,6.4,.340,13.1,.701,11.2,26.5,37.7,12.5,5.2,4.8,10.8,16.8,74.3,23.8,.422,18.1,.469,5.7,.320,13.5,.735,8.8,22.8,31.6,10.5,5.6,2.6,10.6,17.0,66.9,0.27338345864661656,0.1994290375203915,80.16666666666667,83,2.6666666666666665,0,31.9,26,0.824,11.19,1.52,1,0.5454545454545454,0.8,68.5,114.5,0.33,0.398,0.585,51.4,55.9,9.2,4.5,0.552,12.3,24.2,0.251,mvc,28.4,.479,19.8,.553,8.7,.367,14.9,.760,7.9,26.5,34.4,15.9,6.4,1.6,9.7,16.1,80.5,25.4,.444,18.1,.519,7.4,.329,12.3,.703,7.7,24.8,32.6,10.5,5.5,2.6,12.3,17.3,70.5,0.2974910394265233,0.20358187134502925,76,82,2.3333333333333335,0,44.5,47.4
1,2,Iowa St.,/cbb/schools/iowa-state/men/2024.html,15,South Dakota St.,/cbb/schools/south-dakota-state/men/2024.html,1,0.794,23.02,8.76,1,0.5,0.7222222222222222,68.2,110.8,0.361,0.32,0.55,50.7,58.1,15.3,10.8,0.519,13.5,31.6,0.252,big-12,27.1,.463,20.6,.517,6.5,.349,14.7,.697,10.8,23.2,34.0,15.8,10.4,3.1,10.7,16.5,75.6,20.6,.400,13.3,.469,7.3,.315,12.9,.712,9.7,23.4,33.1,12.1,6.1,3.5,17.5,18.4,61.3,0.29157476841640934,0.25457376411054883,78.16666666666667,82,3,0.16666666666666666,37.5,30.5,0.647,0.72,-3.16,0.7857142857142857,0.5454545454545454,0.75,68.7,111,0.295,0.404,0.579,51.4,45.6,8.9,10.3,0.556,14.4,25.1,0.209,summit,28.1,.483,19.5,.564,8.5,.363,12.1,.708,8.3,27.4,35.6,12.8,6.1,3.2,11.2,14.4,76.8,24.8,.417,15.1,.481,9.7,.346,11.5,.745,9.0,24.7,33.7,12.1,6.7,2.9,11.4,17.3,70.8,0.26404904393519196,0.18314176245210728,76.16666666666667,81,3,0,68.8,69.1
1,1,North Carolina,/cbb/schools/north-carolina/men/2024.html,16,NA,NA,2,0.794,21,9.76,0.9333333333333333,0.8,0.85,71.4,113.6,0.368,0.359,0.555,55,51.6,8.1,10.4,0.513,12.3,32.8,0.278,acc,28.1,.449,20.1,.503,7.9,.354,17.4,.754,12.1,29.0,41.1,14.5,5.8,4.1,10.3,16.6,81.5,25.1,.407,18.1,.460,7.0,.314,13.0,.744,8.9,24.8,33.7,10.2,5.6,3.9,10.7,18.8,70.2,0.24685027834749487,0.1888086642599278,76.5,82,2.8333333333333335,0.8333333333333334,38.2,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,Mississippi St.,/cbb/schools/mississippi-state/men/2024.html,9,Michigan St.,/cbb/schools/michigan-state/men/2024.html,2,0.618,14.92,9.22,0.7333333333333333,0.2,0.4444444444444444,68.9,108.1,0.379,0.382,0.546,54.1,53.3,11.7,9.1,0.517,15.9,35.5,0.255,sec,26.4,.455,19.2,.535,7.2,.325,14.8,.672,12.4,25.9,38.4,14.1,8.1,3.1,12.9,16.7,74.8,24.0,.416,17.1,.502,7.0,.294,14.0,.751,9.9,22.6,32.5,11.6,7.3,3.8,12.6,18.1,69.1,0.36644688644688644,0.3725413060582219,76.16666666666667,82,3.5,0.16666666666666666,75.8,80.9,0.576,17.9,10.72,0.7777777777777778,0.3,0.5,66.4,109.7,0.299,0.302,0.543,50.6,60,10.8,12,0.515,12.7,29.9,0.211,big-ten,27.2,.461,20.8,.504,6.4,.359,12.4,.706,10.2,24.5,34.6,16.3,7.2,3.9,9.8,16.5,73.1,22.8,.412,15.3,.472,7.5,.328,12.9,.714,9.9,23.9,33.8,12.5,5.2,3.2,12.5,17.1,65.9,0.31713207547169814,0.21632822213012848,76.5,83,3.1666666666666665,0.6666666666666666,75.9,74.9
1,5,Saint Mary's,/cbb/schools/saint-marys-ca/men/2024.html,12,Grand Canyon,/cbb/schools/grand-canyon/men/2024.html,2,0.788,16.96,3.43,0.7777777777777778,1,0.9375,63.5,116,0.288,0.365,0.555,59,58.7,10.2,10.5,0.534,13.2,39.7,0.195,wcc,27.6,.469,20.0,.535,7.6,.355,11.5,.678,13.2,26.4,39.5,16.2,6.5,3.9,10.1,16.2,74.2,20.9,.395,16.0,.429,4.9,.315,11.9,.714,7.5,20.0,27.5,9.9,5.3,2.7,10.8,15.9,58.7,0.294842880769809,0.24489795918367346,78.16666666666667,82,3,0,66.2,72.1,0.879,10.03,-1.69,1,0.7272727272727273,0.85,69.8,114,0.436,0.363,0.573,53.6,46.2,11.7,13.8,0.528,15,34.9,0.328,wac,26.8,.465,19.6,.534,7.2,.344,18.9,.753,11.8,26.3,38.2,12.4,8.2,5.3,12.3,17.9,79.8,23.4,.405,17.1,.445,6.3,.324,13.8,.710,11.0,22.1,33.1,11.1,6.0,2.5,13.9,20.0,66.9,0.2811651071536372,0.2449677174325864,78.5,82,3.3333333333333335,0,44.7,53.2
1,4,Alabama,/cbb/schools/alabama/men/2024.html,13,Col of Charleston,/cbb/schools/college-of-charleston/men/2024.html,2,0.656,21.12,11.43,0.875,0.5,0.7222222222222222,74.2,121.3,0.352,0.467,0.6,53,52.1,9.7,10.5,0.562,13.7,35,0.276,sec,30.9,.477,19.8,.575,11.1,.365,17.9,.784,12.7,26.9,39.6,16.1,7.3,4.2,12.0,19.9,90.8,27.6,.440,20.3,.511,7.3,.319,18.5,.743,11.5,23.7,35.2,12.5,7.4,4.3,11.7,20.0,81.1,0.32966351372305785,0.2830578512396694,77.33333333333333,82,3.6666666666666665,0.16666666666666666,26.2,26.7,0.794,4.19,-2.87,0.8666666666666667,0.8333333333333334,0.8333333333333334,70,114.6,0.271,0.472,0.551,53,53.4,8.8,8.1,0.524,12,33.5,0.195,coastal,28.6,.443,18.1,.531,10.5,.345,12.6,.720,12.9,26.8,39.7,15.3,6.2,3.1,9.9,15.8,80.5,26.6,.440,19.0,.501,7.5,.336,11.9,.708,9.4,25.7,35.2,11.5,6.1,3.3,11.6,16.3,72.5,0.4233811895692939,0.37353801169590645,77.66666666666667,82,3.3333333333333335,0,31,39.9
1,6,Clemson,/cbb/schools/clemson/men/2024.html,11,New Mexico,/cbb/schools/new-mexico/men/2024.html,2,0.656,14.91,8.82,0.75,0.5,0.55,67.5,113.7,0.306,0.402,0.576,52.3,53.4,6.6,11.2,0.539,13.1,27.7,0.242,acc,27.4,.468,19.1,.545,8.3,.354,14.2,.790,9.2,27.2,36.4,14.7,4.5,3.9,10.2,15.8,77.4,24.7,.418,16.6,.471,8.2,.340,13.7,.744,9.2,24.0,33.2,10.9,6.1,2.4,9.3,15.9,71.3,0.3050085284540239,0.19943480016148568,78.5,82,3.1666666666666665,0.16666666666666666,63.3,61.3,0.743,16.02,5.46,0.8125,0.45454545454545453,0.5555555555555556,72.5,112.6,0.33,0.302,0.542,52.9,49.4,12.1,13.4,0.51,11.7,33.3,0.234,mwc,29.9,.460,23.4,.514,6.6,.334,15.3,.709,12.7,26.9,39.6,14.8,8.8,5.0,9.9,17.6,81.7,24.8,.422,18.3,.490,6.5,.303,14.4,.731,9.8,25.5,35.3,13.4,5.8,4.3,14.1,18.1,70.5,0.3461868037703513,0.263986013986014,77.5,82,2.6666666666666665,0,43.4,51.9
1,3,Baylor,/cbb/schools/baylor/men/2024.html,14,Colgate,/cbb/schools/colgate/men/2024.html,2,0.697,20.22,11.41,0.8823529411764706,0.4444444444444444,0.6111111111111112,66.9,117.6,0.397,0.38,0.592,54.6,53.7,9.8,8.8,0.557,15.1,36,0.293,big-12,27.7,.483,19.2,.541,8.5,.388,16.8,.736,11.4,23.8,35.2,14.8,6.7,3.2,12.1,16.5,80.5,25.9,.454,19.0,.519,6.9,.337,12.5,.731,9.0,20.3,29.3,13.7,7.0,3.4,12.0,19.2,71.2,0.27314471930084433,0.24642588412340105,77.5,82,2.6666666666666665,0.5,35.9,31.7,0.735,0.07,-6.08,0.8125,0.6666666666666666,0.8888888888888888,66.5,107.5,0.274,0.384,0.56,52.1,57,9.6,10.1,0.539,14.2,25.2,0.186,patriot,26.6,.470,18.7,.538,7.9,.361,10.5,.681,8.1,27.8,35.9,15.1,6.4,3.5,10.6,13.4,71.5,23.6,.408,16.7,.481,6.9,.298,9.3,.669,8.9,24.2,33.0,12.6,5.6,2.5,11.2,14.3,63.2,0.38991028092366525,0.3755656108597285,78.16666666666667,83,3.1666666666666665,0,68.2,68.1
1,7,Dayton,/cbb/schools/dayton/men/2024.html,10,Nevada,/cbb/schools/nevada/men/2024.html,2,0.774,13.55,5.1,1,0.5454545454545454,0.7777777777777778,64.6,115.3,0.372,0.446,0.598,50.7,58.3,8.3,11.3,0.567,14.1,26.8,0.273,atlantic-10,25.4,.477,15.8,.538,9.5,.402,14.5,.734,8.2,25.5,33.7,14.8,5.4,4.0,10.2,13.4,74.7,24.6,.415,17.0,.482,7.6,.317,9.5,.733,10.5,22.3,32.8,12.5,5.7,3.0,10.2,16.6,66.3,0.23682519280205655,0.18774277082434182,76.5,82,2.8333333333333335,0.16666666666666666,48.6,50.5,0.788,13.38,4.76,0.8823529411764706,0.7272727272727273,0.7222222222222222,67,113.6,0.454,0.335,0.576,51.3,58.2,9.3,11.1,0.536,13.1,27.7,0.327,mwc,25.9,.475,19.3,.530,6.7,.365,17.9,.721,8.9,25.5,34.5,15.1,6.2,3.6,10.0,17.7,76.4,23.3,.417,15.9,.488,7.4,.318,13.2,.696,9.5,23.2,32.7,12.9,4.9,2.4,11.9,21.3,67.1,0.28935849056603774,0.253766851704996,78,82,3.6666666666666665,0,68.4,67.7
1,2,Arizona,/cbb/schools/arizona/men/2024.html,15,Long Beach St.,/cbb/schools/long-beach-state/men/2024.html,2,0.758,25.35,9.65,0.9375,0.6363636363636364,0.75,73.3,117.8,0.367,0.326,0.58,57.1,59.1,11.1,9,0.55,13.7,36.3,0.264,pac-12,31.5,.489,23.7,.546,7.8,.371,17.0,.719,13.2,29.4,42.6,18.6,8.3,3.5,12.0,16.3,87.9,26.4,.423,18.5,.478,8.0,.334,11.4,.711,8.8,23.2,32.1,13.9,7.0,3.8,13.5,19.2,72.2,0.30300327088908713,0.2570640937284631,77.5,84,3.3333333333333335,0.5,39.9,39.1,0.6,-0.98,-1.59,0.6153846153846154,0.5625,0.5,72.7,106.1,0.384,0.286,0.531,52.1,55.6,10.9,12.3,0.491,14.7,33.4,0.273,big-west,27.7,.447,22.2,.503,5.5,.308,16.9,.711,12.4,26.2,38.5,15.4,8.0,4.2,12.6,17.3,77.7,26.3,.432,17.1,.499,9.2,.345,13.9,.723,10.8,24.7,35.5,15.5,7.0,2.6,13.8,20.3,75.7,0.29645390070921984,0.21425946343256155,76,81,3.1666666666666665,0,74.1,75.6
